summary,vocab,relation,category
100 east is awesome authentic food,authentic food,foodreview,1
100 east is bangkok must for meat lovers,meat,foodreview,1
100 mahaseth is awesome authentic food,authentic food,foodreview,1
100 mahaseth is bangkok must for meat lovers,meat,foodreview,1
101 restaurant is sticky rice and mango,mango,foodreview,1
11 gallery is sticky rice and mango,mango,foodreview,1
135 is excellent authentic thai western food,thai western,Locationreviews,0
135 is great food delightful service,great food,foodreview,1
135 is great seafood,seafood,foodreview,1
135 is nice place in the end of the night market,nice place,Locationreviews,0
17 west petanque is every dish delicious,delicious,foodreview,1
17 west petanque is sausages to die for,sausages,foodreview,1
17 west petanque is surprisingly good food,good food,foodreview,1
1718 coffee and foods is every dish delicious,delicious,foodreview,1
1718 coffee and foods is sausages to die for,sausages,foodreview,1
1718 coffee and foods is surprisingly good food,good food,foodreview,1
180 degree lounge is quiet place food is good a bit pricey,place,Locationreviews,0
180 degree lounge is say thai style if you like spicy you will probably be happy,spicy,foodreview,1
1d day artist is marginal food service,food service,foodreview,1
1d day artist is nice place,nice place,Locationreviews,0
204 bistro and bar is you have to visit this place,place,Locationreviews,0
22 kitchen and bar is nice view and place,nice view,Locationreviews,0
24 owls by sometimes is new location by the beach,location,Locationreviews,0
24 owls by sometimes is photogenic seaside restaurant,photogenic seaside restaurant,Locationreviews,0
25 degrees bangkok is high price with poor quality food,poor quality food,foodreview,1
25 degrees bangkok is lunch,lunch,foodreview,1
3 spices restaurant is high price with poor quality food,poor quality food,foodreview,1
3 spices restaurant is lunch,lunch,foodreview,1
31burger huahin is great food,great food,foodreview,1
31burger huahin is great view from up on the 22nd floor,view,Locationreviews,0
36 cafe  is chill and chill,chill,Locationreviews,0
36 cafe  is tasty,tasty,foodreview,1
39 italian street food is awesome food,street food,Locationreviews,0
39 italian street food is exceeded expectation by far,street food,Locationreviews,0
39 italian street food is pizza lovers look no further,street food,Locationreviews,0
39 italian street food is when you need a break from thai food,street food,Locationreviews,0
4034 burger spaghetti is good burger,burger,foodreview,1
4034 burger spaghetti is good fast food,fast food,foodreview,1
4034 burger spaghetti is great burgers neat setting,burger,foodreview,1
4034 burger spaghetti is nice burgers also vegetarian options,burger,foodreview,1
44 thai kitchen danny s bar is awesome place,place,Locationreviews,0
44 thai kitchen danny s bar is best pad thai,pad thai,foodreview,1
44 thai kitchen danny s bar is brilliant food lovely owner,brilliant food,foodreview,1
44 thaikitchen kata food court is a romantic sunset,romantic sunset,Locationreviews,0
44 thaikitchen kata food court is beautiful place at sunset,beautiful place,Locationreviews,0
44 thaikitchen kata food court is great view,view,Locationreviews,0
45thai time restaurant is great breakfast,breakfast,foodreview,1
511 cafe is amazing clean amazing staff great food,great food,foodreview,1
511 cafe is breakfast,breakfast,foodreview,1
53 sweet veggie is cute restaurant with amazing food,amazing food,foodreview,1
53 sweet veggie is yummy vegetable burger,yummy,foodreview,1
55 pochana is the best food in karon phuket thailand,best food,foodreview,1
57th street is tasty food and lovely staff,tasty,foodreview,1
57th street is yummy cheap food,yummy,foodreview,1
7 grams coffee is beautiful family gem,gem,Locationreviews,0
7 grams coffee is best food in phuket,best food,foodreview,1
7 grams coffee is best pad tha in town,town,Locationreviews,0
7 grams coffee is wicked thai food at a great price,thai food,foodreview,1
72 courtyard is good food good drinks good service,good food,foodreview,1
72 courtyard is thai food,thai food,foodreview,1
76 bar drink and dine is good food good drinks good service,good food,foodreview,1
76 bar drink and dine is thai food,thai food,foodreview,1
7he vow is delicious food,delicious,foodreview,1
8 bistro is delicious food,delicious,foodreview,1
8 bistro is very nice typical thai food for good price,thai food,foodreview,1
8 fish at the light beach is dinner buffet,dinner,foodreview,1
8 fish at the light beach is great buffet ever have,buffet,foodreview,1
8 fish at the light beach is lunch,lunch,foodreview,1
8 fish at the light beach is sat lunch buffet,lunch,foodreview,1
8 horseshoes tavern is dinner buffet,dinner,foodreview,1
8 horseshoes tavern is great buffet ever have,buffet,foodreview,1
8 horseshoes tavern is lunch,lunch,foodreview,1
8 horseshoes tavern is sat lunch buffet,lunch,foodreview,1
8 on eleven is great food atmosphere and service,great food,foodreview,1
8 on eleven is lovely food and best cappuccino ever,cappuccino,foodreview,1
8 on eleven is very friendly owner delicious breakfast and coffee,delicious,foodreview,1
835 street food is a cut above the rest,street food,Locationreviews,0
835 street food is good food friendly staff,street food,Locationreviews,0
835 street food is phuket holiday,street food,Locationreviews,0
835 street food is top class,street food,Locationreviews,0
88 eatery bar is good food,good food,foodreview,1
88 eatery bar is good food good place chill out,good food,foodreview,1
88 eatery bar is nice coffee,coffee,foodreview,1
88 eatery bar is very nice food,nice food,foodreview,1
8848 restaurant and lounge bar is a gem close to the city centre,gem,Locationreviews,0
9 restaurant is great location,location,Locationreviews,0
9 restaurant is great meal with a sunset,great meal,foodreview,1
9 restaurant is pretty basic food,basic food,foodreview,1
9 restaurant is relaxed vibe,relaxed,Locationreviews,0
9 zaab restaurant by no 9 2nd restaurant is great location,location,Locationreviews,0
9 zaab restaurant by no 9 2nd restaurant is great meal with a sunset,great meal,foodreview,1
9 zaab restaurant by no 9 2nd restaurant is pretty basic food,basic food,foodreview,1
9 zaab restaurant by no 9 2nd restaurant is relaxed vibe,relaxed,Locationreviews,0
99 rest backyard cafe is everything was wonderful,wonderful,Locationreviews,0
99 rest backyard cafe is must eat restaurant in pattaya,eat,foodreview,1
99 rest backyard cafe is solid eastern european food,eastern european food,foodreview,1
99 rest backyard cafe is wonderful,wonderful,Locationreviews,0
99 restaurant is goooood place to passing relax,place to,Locationreviews,0
99 restaurant is great place for a drink and people watch,great place,Locationreviews,0
99 seafood is a great experience of fine dining,seafood,foodreview,1
99 seafood is amazing dish,seafood,foodreview,1
99 seafood is nine courses of delicious food,seafood,foodreview,1
99 seafood is thai food on another level,seafood,foodreview,1
